Geography,Views,Watch time (hours),Average view duration
Total,77456,1184.4673,0:00:55
US,26126,334.317,0:00:46
GB,422,10.0471,0:01:25
JP,342,9.0889,0:01:35
IN,216,4.662,0:01:17
FR,122,1.4962,0:00:44
BR,88,1.1024,0:00:45
CA,52,0.8759,0:01:00
RU,56,0.3888,0:00:24
DE,11,0.3577,0:01:57
MX,42,0.2527,0:00:21
CL,23,0.2281,0:00:35
KR,10,0.2188,0:01:18
CZ,15,0.212,0:00:50
ID,10,0.2066,0:01:14
DK,13,0.1841,0:00:50
AU,21,0.1708,0:00:29
IT,11,0.1226,0:00:40
ME,27,0.1201,0:00:16
MY,18,0.0511,0:00:10
BG,10,0.0383,0:00:13
SA,0,0,
